Fecha,RPM BPC [RPM],Motor LL_502\MLL _X\Velocidad Rms [mm/s],Motor LL_502\MLL _X\Aceleración Rms [g],Motor LA_502\MLA_X\Velocidad Rms [mm/s],Motor LA_502\MLA_X\Aceleración Rms [g],Motor LA_502\MLA_Y\Velocidad Rms [mm/s],Motor LA_502\MLA_Y\Aceleración Rms [g],Motor LA_502\MLA_Z\Velocidad Rms [mm/s],Motor LA_502\MLA_Z\Aceleración Rms [g],Motor LL_502\MLL_Y\Velocidad Rms [mm/s],Motor LL_502\MLL_Y\Aceleración Rms [g]
2026-01-29 23:59:11,1196.212,0.745533,0.436452627,0.9017957,1.295048,0.6981127,1.4195112,0.338584065,0.369787157,0.631358445,0.5977388
2026-01-29 23:59:12,1196.3114,0.7759072,0.4280946,0.9057065,1.37086678,0.7023297,1.43304324,0.317923635,0.375072271,0.5902069,0.585431933
2026-01-29 23:59:13,1196.01331,0.770386,0.433368355,0.9126306,1.42701781,0.704136252,1.42026389,0.327852875,0.38890636,0.6421105,0.594875634
2026-01-29 23:59:14,1196.3114,0.7953674,0.432632744,0.9069652,1.45928681,0.7208216,1.42966056,0.3746947,0.373575628,0.634854734,0.582859755
2026-01-29 23:59:16,1196.01331,0.8169456,0.432060748,0.9126717,1.37058151,0.7209224,1.46190381,0.411202341,0.3780808,0.675905764,0.5847742
2026-01-29 23:59:17,1196.11267,0.7224308,0.430112749,0.9087934,1.33679,0.7109931,1.3331064,0.352605879,0.380210549,0.6460858,0.5931516
2026-01-29 23:59:18,1195.8147,0.775576353,0.433266073,0.9117301,1.36501765,0.681009531,1.4193548,0.349506855,0.384689361,0.647569239,0.5874123
2026-01-29 23:59:19,1195.8147,0.742834032,0.431258082,0.921449065,1.34766507,0.684031963,1.44931638,0.3242086,0.370784938,0.6275051,0.5892357
2026-01-29 23:59:20,1195.8147,0.8414165,0.428336322,0.906457543,1.35210657,0.697705865,1.34373987,0.336420923,0.3819075,0.6268994,0.591145933
2026-01-29 23:59:21,1195.8147,0.825176954,0.430422276,0.9094308,1.3236593,0.6901722,1.32461739,0.328398466,0.376515,0.5856179,0.5971446
2026-01-29 23:59:22,1195.4176,0.7769711,0.43404603,0.91544354,1.38041365,0.7066187,1.45176482,0.347278833,0.361635864,0.671480238,0.600232661
2026-01-29 23:59:23,1195.4176,0.797311962,0.435150117,0.9126657,1.37462938,0.6857453,1.33840168,0.3360752,0.38240248,0.6383935,0.600031257
2026-01-29 23:59:24,1195.31836,0.768279552,0.4339049,0.9191301,1.33302641,0.700168252,1.33887553,0.309612423,0.3662079,0.6286204,0.598132253
2026-01-29 23:59:25,1194.82239,0.813556552,0.4414154,0.9067501,1.29863346,0.6828082,1.38709545,0.3360551,0.389867365,0.6192876,0.6010961
2026-01-29 23:59:26,1194.72327,0.783257365,0.439883679,0.9179185,1.42425966,0.699850559,1.34122467,0.325843722,0.390342,0.657504737,0.6082217
2026-01-29 23:59:27,1194.62415,0.8112268,0.444674373,0.931098,1.28922367,0.7679313,1.38906062,0.335914344,0.38546294,0.689137638,0.608212352
2026-01-29 23:59:28,1194.3269,0.786384761,0.442893565,0.912825346,1.35903192,0.7103444,1.41040421,0.345984966,0.3899497,0.6595749,0.6130771
2026-01-29 23:59:29,1194.22791,0.770914,0.436652184,0.8965643,1.38315165,0.699775,1.3635745,0.340483576,0.3834464,0.658786833,0.606488764
2026-01-29 23:59:30,1194.12891,0.7688914,0.442987233,0.9242565,1.32782948,0.677808642,1.42116785,0.339875221,0.40230453,0.5986257,0.622216463
2026-01-29 23:59:31,1194.12891,0.75627476,0.4420938,0.8995601,1.49412239,0.7073983,1.32566714,0.347949326,0.404752284,0.602534533,0.60379374
2026-01-29 23:59:32,1194.02991,0.7837061,0.445117176,0.901288152,1.45541108,0.698107243,1.44597447,0.313296735,0.393350869,0.596855342,0.6190696
2026-01-29 23:59:33,1194.3269,0.7719531,0.446589231,0.9123951,1.51295972,0.6962321,1.50868917,0.323169976,0.4060233,0.6129804,0.6149321
2026-01-29 23:59:34,1194.12891,0.789824069,0.44422105,0.900261641,1.36791313,0.6816109,1.4065125,0.312904626,0.4027168,0.6263798,0.6164954
2026-01-29 23:59:35,1194.82239,0.745871365,0.441227973,0.9074741,1.38816881,0.697578549,1.34834421,0.3370631,0.3861184,0.634502947,0.609232068
2026-01-29 23:59:36,1194.92163,0.7910048,0.4426768,0.8929933,1.466422,0.6962827,1.46064317,0.320830166,0.389342278,0.675263166,0.603815436
2026-01-29 23:59:37,1194.92163,0.762289643,0.439997137,0.9118203,1.52993131,0.7063788,1.44462526,0.329357117,0.392920882,0.6831247,0.608692348
2026-01-29 23:59:38,1195.31836,0.7683087,0.439260244,0.898941755,1.46548009,0.698955059,1.37278128,0.325622439,0.3863376,0.6147816,0.6169939
2026-01-29 23:59:39,1195.11987,0.7487113,0.434465349,0.901707947,1.452259,0.6944856,1.48516941,0.357585371,0.397068977,0.6333112,0.594621241
2026-01-29 23:59:40,1195.02075,0.786876857,0.43163237,0.897589564,1.34767985,0.6897675,1.38123667,0.340035349,0.381820232,0.6098369,0.591141
2026-01-29 23:59:41,1195.31836,0.7795585,0.440684229,0.9130736,1.40521419,0.715358257,1.37540448,0.323344976,0.374233663,0.6719791,0.5881317
2026-01-29 23:59:42,1195.02075,0.7773023,0.433769464,0.9059674,1.39774632,0.6895232,1.42072976,0.322648227,0.392540544,0.617802441,0.6042099
2026-01-29 23:59:43,1195.11987,0.772615969,0.435203761,0.901798,1.390758,0.697737455,1.392393,0.349319428,0.388391346,0.6241736,0.5895586
2026-01-29 23:59:44,1195.21912,0.7837754,0.4341468,0.9018353,1.419858,0.69814235,1.42434692,0.3393499,0.402302057,0.671583831,0.595577836
2026-01-29 23:59:45,1195.11987,0.8137679,0.4368185,0.9078428,1.3577795,0.7101025,1.336578,0.324695379,0.376094967,0.6192568,0.5978673
2026-01-29 23:59:46,1194.92163,0.7890042,0.441541076,0.92910856,1.28693831,0.7109492,1.40998387,0.365346164,0.374034464,0.6408082,0.611457467
2026-01-29 23:59:47,1195.21912,0.83097893,0.434270352,0.899320066,1.33059013,0.720635355,1.34963083,0.3530608,0.382374018,0.682486951,0.5979741
2026-01-29 23:59:48,1194.92163,0.754248857,0.435521364,0.932356238,1.404852,0.691596,1.43130171,0.3302013,0.388614476,0.60749,0.605719268
2026-01-29 23:59:49,1194.92163,0.79161334,0.428087145,0.9082566,1.4002434,0.6973158,1.35075641,0.326885283,0.3868635,0.602958143,0.5948015
2026-01-29 23:59:50,1194.92163,0.7935613,0.4372941,0.933184743,1.36125457,0.69473207,1.32772362,0.342231154,0.384518862,0.62952894,0.6050585
2026-01-29 23:59:51,1194.52515,0.8210314,0.433737934,0.8971468,1.40793514,0.694805741,1.44586968,0.3162955,0.405599,0.6205845,0.5981292
2026-01-29 23:59:52,1195.02075,0.860615551,0.4369623,0.9231869,1.349134,0.7017029,1.44100094,0.353446037,0.391661853,0.6193954,0.6019687
2026-01-29 23:59:53,1195.11987,0.8403358,0.426561266,0.926573157,1.36997914,0.7100329,1.48253107,0.324242741,0.387841821,0.694414139,0.589158356
2026-01-29 23:59:54,1195.51685,0.803873658,0.439527839,0.8986583,1.35092032,0.700052738,1.38087857,0.336149216,0.387575567,0.5867179,0.6046346
2026-01-29 23:59:55,1195.11987,0.7832916,0.436642855,0.9238938,1.41057611,0.70469445,1.33375621,0.3840204,0.37661323,0.668529,0.597353458
2026-01-29 23:59:56,1195.31836,0.818919241,0.435727775,0.9068268,1.31676745,0.7044564,1.35693336,0.334517241,0.3817153,0.651348233,0.5999594
2026-01-29 23:59:57,1195.4176,0.74811,0.429340869,0.914112568,1.23421752,0.6914608,1.2908498,0.334039569,0.37303862,0.6010828,0.5978598
2026-01-29 23:59:58,1195.31836,0.8019413,0.436095119,0.9130851,1.31142259,0.7004611,1.29059291,0.367964834,0.3561917,0.6650327,0.597285748
2026-01-29 23:59:59,1194.92163,0.7888487,0.4337381,0.91429764,1.29852462,0.7056135,1.34607387,0.341454,0.384737968,0.619885445,0.6068917
2026-01-30 00:00:00,1195.11987,0.8214773,0.433936179,0.8997805,1.23633254,0.710471153,1.2928654,0.35697,0.3672039,0.61966753,0.5988009
2026-01-30 00:00:01,1194.82239,0.7468253,0.442538321,0.9038129,1.4341526,0.6957478,1.37532675,0.346263766,0.3854001,0.625941753,0.620244443
2026-01-30 00:00:02,1194.62415,0.760172367,0.440564,0.8897673,1.40166891,0.7022368,1.45608628,0.311635852,0.39489466,0.6045805,0.6028273
2026-01-30 00:00:03,1194.72327,0.8099045,0.4419904,0.9024072,1.34725058,0.705148339,1.332621,0.3311903,0.3772052,0.6157419,0.6053225
2026-01-30 00:00:04,1194.72327,0.8085877,0.439368218,0.9144606,1.40703535,0.7137965,1.42286253,0.386049569,0.392347872,0.6570361,0.608995438
2026-01-30 00:00:05,1194.52515,0.8655373,0.438437074,0.9215305,1.43228686,0.709415734,1.46651947,0.367553949,0.4046822,0.649200559,0.6140294
2026-01-30 00:00:06,1194.426,0.7653631,0.438236684,0.910108745,1.51781607,0.698862553,1.47643209,0.337384582,0.403585136,0.614346445,0.611313045
2026-01-30 00:00:07,1194.3269,0.777736366,0.444142431,0.8977526,1.422592,0.7012112,1.48762631,0.3455605,0.409266561,0.612200439,0.6098867
2026-01-30 00:00:08,1194.52515,0.748515,0.440511167,0.9071369,1.36140347,0.7057721,1.35998321,0.33854422,0.3897872,0.672626555,0.611635
2026-01-30 00:00:09,1194.82239,0.806019247,0.4375242,0.909852564,1.48921835,0.7022031,1.37832868,0.366797239,0.3943245,0.5870558,0.601375
2026-01-30 00:00:10,1194.92163,0.7546375,0.442189962,0.91616267,1.364636,0.7093914,1.43463492,0.3482224,0.383628875,0.611052155,0.6165281
2026-01-30 00:00:11,1195.11987,0.76764226,0.437236369,0.901456654,1.35761666,0.700671,1.3709532,0.3375971,0.380954772,0.614009559,0.5983073
2026-01-30 00:00:12,1195.51685,0.794196,0.435368359,0.927960634,1.49487627,0.7034117,1.46045,0.364231974,0.398655444,0.6156434,0.6051835
2026-01-30 00:00:13,1195.4176,0.762503147,0.4317376,0.8997587,1.51522624,0.709619164,1.48976243,0.301807,0.39411065,0.6014163,0.583141267
2026-01-30 00:00:14,1195.914,0.762838,0.4431045,0.899407268,1.40760553,0.6905293,1.40969646,0.329699337,0.3941093,0.602774858,0.595159233
2026-01-30 00:00:15,1196.01331,0.765952349,0.437185556,0.8989166,1.54697967,0.7029529,1.4439435,0.341333956,0.406487048,0.5960285,0.5806231
2026-01-30 00:00:16,1196.3114,0.8513288,0.437436521,0.9063745,1.38091,0.7023444,1.45401669,0.363509059,0.392154276,0.6145311,0.593626857
2026-01-30 00:00:17,1196.01331,0.7432508,0.426445633,0.9207361,1.525122,0.7095866,1.43720114,0.3232851,0.377019525,0.599212,0.5821507
2026-01-30 00:00:18,1196.212,0.805804253,0.4246557,0.919194937,1.33666575,0.708175242,1.48716784,0.364073634,0.3830344,0.6236265,0.5712475
2026-01-30 00:00:19,1196.11267,0.7903017,0.4361076,0.9153301,1.51830614,0.6949258,1.421788,0.376140535,0.396318853,0.6449514,0.586599052
2026-01-30 00:00:20,1196.51013,0.776720941,0.420928031,0.889922559,1.42639863,0.6928437,1.386774,0.296465456,0.379408956,0.596751451,0.56896
2026-01-30 00:00:21,1196.51013,0.729292035,0.429288179,0.9102232,1.50428164,0.6996574,1.48813367,0.330748,0.396893144,0.6461748,0.5803154
2026-01-30 00:00:22,1196.41077,0.7961152,0.429475963,0.898557544,1.38140357,0.7034145,1.43482554,0.334796846,0.3791848,0.6258904,0.5806425
2026-01-30 00:00:23,1196.51013,0.731893837,0.424384266,0.914886057,1.50065076,0.7186308,1.3875314,0.331496358,0.3922003,0.591401756,0.577590048
2026-01-30 00:00:24,1196.41077,0.7818271,0.417010456,0.895862162,1.39245117,0.6812249,1.41259515,0.344955742,0.382258952,0.604805946,0.5733509
2026-01-30 00:00:25,1196.3114,0.781243265,0.4270537,0.91339606,1.48664474,0.6957054,1.36415911,0.319458723,0.3876866,0.609625459,0.582212746
2026-01-30 00:00:26,1196.80847,0.78893894,0.41978994,0.919410169,1.38469839,0.68971175,1.38198185,0.349744141,0.386061966,0.615817249,0.568082035
2026-01-30 00:00:27,1196.212,0.814962268,0.425226271,0.924937546,1.42597008,0.712705433,1.43997,0.3619288,0.380565256,0.631605268,0.5747465
2026-01-30 00:00:28,1196.51013,0.7810985,0.4294709,0.906959355,1.44122708,0.710622132,1.4179523,0.347239524,0.380140036,0.625898063,0.5794523
2026-01-30 00:00:29,1196.60962,0.8412257,0.430061758,0.915040135,1.42121708,0.716658831,1.55818164,0.405280322,0.372573435,0.6229229,0.5830741
2026-01-30 00:00:30,1196.212,0.7338359,0.4315526,0.9033534,1.39992189,0.7205041,1.39817655,0.396401048,0.396836936,0.6368904,0.58662194
2026-01-30 00:00:31,1196.3114,0.8063163,0.429455459,0.91489774,1.420459,0.7181342,1.43572211,0.338385642,0.381122559,0.624782443,0.576509953
2026-01-30 00:00:32,1196.01331,0.749044,0.426426381,0.911228836,1.3368696,0.7073379,1.43748891,0.328630924,0.380464524,0.640571535,0.5857063
