Maquina,timestamp_grid,aceleracion_chum_la_h,velocidad_chum_la_h,envolvente_chum_la_h,aceleracion_chum_la_a,velocidad_chum_la_a,envolvente_chum_la_a,aceleracion_chum_ll_h,velocidad_chum_ll_h,envolvente_chum_ll_h,desbalance_la,desalineacion_rad_la,soltura_chum_la,rodamiento_chum_la,desalineacion_ang_la,desbalance_ll,soltura_chum_ll,rodamiento_chum_ll,corriente_picadora,temperatura_lado_der,temperatura_lado_izq
PICADORA,2025-07-14 10:40:21-05:00,0.458614,2.28976,1.63087,0.335702,1.5591,1.27922,0.38656,2.79757,0.869855,0.6702838,0.47020298,1.1876875,0.3977075,0.036910675,0.784776,1.9337966,1.34253,127.0,50.0,52.0
PICADORA,2025-07-14 10:40:31-05:00,0.437987,2.21161,1.75983,0.298217,1.592,1.16888,0.335612,2.85506,0.861359,0.6683415,0.461125,1.164865,0.366402,0.036765285,0.78756124,1.83814,1.264245,108.0,50.0,52.0
PICADORA,2025-07-14 10:40:41-05:00,0.489353,3.21598,1.78693,0.370477,2.0108,1.13754,0.500475,4.01555,1.2754,0.66639924,0.452047,1.1420425,0.33509648,0.03661989,0.7903465,1.7424834,1.1859599,158.0,50.0,52.0
PICADORA,2025-07-14 10:40:51-05:00,0.433427,1.73587,1.77829,0.295507,1.51566,1.04776,0.380135,2.17117,0.78694,0.664457,0.442969,1.11922,0.303791,0.0364745,0.7931317,1.6468266,1.107675,99.0,50.0,52.0
PICADORA,2025-07-14 10:41:01-05:00,0.450031,2.14399,1.85693,0.312224,1.69466,1.13502,0.38777,2.40379,0.721017,0.6649264,0.45279634,1.2076792,0.41922256,0.035963982,0.795917,1.55117,1.02939,107.0,50.0,52.0
PICADORA,2025-07-14 10:41:11-05:00,0.456656,2.99232,1.58146,0.359583,2.17637,1.18562,0.490151,4.56626,1.13086,0.66539586,0.46262366,1.2961384,0.53465414,0.035453465,0.79466987,1.5875041,1.0753424,133.0,50.0,52.0
PICADORA,2025-07-14 10:41:21-05:00,0.462557,2.91101,1.58125,0.382686,1.97394,1.26628,0.437536,3.62494,1.86543,0.6658653,0.472451,1.3845975,0.65008575,0.03494295,0.7934228,1.6238383,1.121295,134.0,50.0,52.0
PICADORA,2025-07-14 10:41:31-05:00,0.453169,2.65104,1.44123,0.364843,1.89813,1.41579,0.447644,3.33192,0.985356,0.6663347,0.48227832,1.4730567,0.7655173,0.034432434,0.7921757,1.6601725,1.1672475,150.0,50.0,52.0
PICADORA,2025-07-14 10:41:41-05:00,0.443593,2.40317,2.18648,0.343269,1.77073,1.26489,0.401858,2.97006,1.04902,0.6668041,0.49210566,1.5615159,0.8809489,0.033921916,0.79092866,1.6965066,1.2132,111.0,50.0,52.0
PICADORA,2025-07-14 10:41:51-05:00,0.436673,2.15504,1.95044,0.309138,1.67781,1.16051,0.372768,2.4692,0.745805,0.6672735,0.501933,1.6499751,0.99638045,0.0334114,0.78968155,1.7328408,1.2591524,102.0,50.0,52.0
